stn,time,pva200m0,tre200mn,tre200m0,hns000m0,rre150m0,ure200mn,ure200m0,hto000m0,ets150m0,gre000m0,prestam0,tre200mx,su2000m0,sremaxmv,fkl010m0,nto000m0,tre005mn
ANT,200001,3.4,-21.5,-7.0,52,89.5,48.0,85.2,86,-,-,-,-,-,-,0.8,45,-
ANT,200002,4.5,-15.5,-2.1,141,126.7,53.0,82.1,110,-,-,-,-,-,-,0.9,62,-
ANT,200003,5.1,-10.7,0.1,122,146.9,42.0,82.3,107,-,-,-,-,-,-,1.2,69,-
ANT,200004,6.1,-7.0,4.1,38,165.4,28.0,75.6,61,-,-,-,-,-,-,1.5,69,-
ANT,200005,9.0,0.9,9.7,0,57.2,40.0,77.0,0,-,-,-,-,-,-,1.7,61,-
ANT,200006,10.4,2.6,12.4,0,84.6,32.0,74.6,0,-,-,-,-,-,-,1.8,51,-
ANT,200007,10.4,1.4,10.6,0,155.8,38.0,80.9,0,-,-,-,-,-,-,1.8,66,-
ANT,200008,11.8,-3.5,13.7,0,123.6,32.0,78.1,0,-,-,-,-,-,-,1.3,46,-
ANT,200009,9.6,1.1,10.0,0,221.6,34.0,78.6,0,-,-,-,-,-,-,1.2,51,-
ANT,200010,7.8,-2.1,6.0,28,269.9,40.0,82.7,0,-,-,-,-,-,-,1.5,65,-
ANT,200011,5.2,-11.0,0.1,190,280.4,45.0,80.8,46,-,-,-,-,-,-,1.3,65,-
ANT,200012,4.5,-13.3,-0.3,41,42.0,23.0,72.5,41,-,-,-,-,-,-,1.4,56,-
ANT,200101,3.8,-16.5,-2.5,99,60.4,34.0,71.6,61,-,-,-,-,-,-,1.3,60,-
ANT,200102,4.3,-15.5,-2.1,125,124.6,44.0,78.7,87,-,-,-,-,-,-,1.2,60,-
ANT,200103,5.7,-11.8,2.4,69,134.1,38.0,79.2,69,-,-,-,-,-,-,1.5,76,-
ANT,200104,5.5,-7.3,1.7,149,161.3,37.0,80.3,12,-,-,-,-,-,-,1.6,75,-
ANT,200105,9.0,1.2,9.7,0,57.1,38.0,76.2,0,-,-,-,-,-,-,1.7,60,-
ANT,200106,9.2,-0.2,9.3,13,206.8,27.0,80.5,0,-,-,-,-,-,-,1.8,55,-
ANT,200107,11.5,5.2,12.7,0,174.0,21.0,80.1,0,-,-,-,-,-,-,1.3,56,-
ANT,200108,12.1,4.5,13.9,0,118.6,30.0,77.5,0,-,-,-,-,-,-,0.9,55,-
ANT,200109,7.8,-1.5,6.6,3,138.9,39.0,80.2,0,-,-,-,-,-,-,1.1,76,-
ANT,200110,8.5,-0.8,9.0,0,79.6,35.0,74.0,0,-,-,-,-,-,-,0.9,44,-
ANT,200111,4.9,-9.3,-1.5,94,108.4,41.0,86.0,14,-,-,-,-,-,-,0.8,56,-
ANT,200112,3.5,-20.0,-6.9,66,86.2,49.0,84.7,34,-,-,-,-,-,-,0.8,48,-
ANT,200201,3.3,-19.5,-6.4,3,21.0,45.0,79.1,54,-,-,-,-,-,-,0.8,28,-
ANT,200202,4.7,-14.2,-0.2,141,126.0,41.0,78.3,71,-,-,-,-,-,-,0.9,65,-
ANT,200203,4.8,-12.5,1.2,60,197.5,30.0,71.9,67,-,-,-,-,-,-,0.9,48,-
ANT,200204,5.8,-7.5,3.7,12,51.2,34.0,75.7,7,-,-,-,-,-,-,1.1,61,-
ANT,200205,7.9,-3.0,7.2,103,425.4,29.0,78.6,8,-,-,-,-,-,-,1.0,69,-
ANT,200206,11.8,4.3,14.1,0,133.8,33.0,76.1,0,-,-,-,-,-,-,-,51,-
ANT,200207,12.2,5.0,13.5,0,123.1,46.0,78.7,0,-,-,-,-,-,-,-,62,-
ANT,200208,12.1,5.0,12.9,0,139.1,43.0,82.5,0,-,-,-,-,-,-,-,66,-
ANT,200209,9.6,-2.0,8.9,32,80.7,34.0,83.3,2,-,-,-,-,-,-,-,74,-
ANT,200210,7.4,-2.0,6.3,1,73.6,34.0,76.6,0,-,-,-,-,-,-,-,61,-
ANT,200211,6.6,-13.5,2.5,113,572.8,55.0,86.8,10,-,-,-,-,-,-,-,84,-
ANT,200212,4.9,-13.0,-1.4,59,79.9,54.0,85.9,20,-,-,-,-,-,-,-,64,-
ANT,200301,3.6,-19.5,-5.6,146,133.4,52.0,84.2,48,-,-,-,-,-,-,-,64,-
ANT,200302,2.6,-22.5,-7.6,109,80.8,36.0,73.4,109,-,-,-,-,-,-,-,30,-
ANT,200303,4.8,-10.5,0.8,15,15.8,29.0,76.3,78,-,-,-,-,-,-,-,37,-
ANT,200304,5.8,-13.0,3.8,29,60.0,33.0,71.7,23,-,-,-,-,-,-,-,56,-
ANT,200305,8.6,-0.4,9.6,1,64.9,35.0,72.5,0,-,-,-,-,-,-,-,64,-
ANT,200306,12.6,6.6,16.2,0,48.1,31.0,71.0,0,-,-,-,-,-,-,-,45,-
ANT,200307,12.0,5.5,13.8,0,135.0,38.0,76.8,0,-,-,-,-,-,-,-,50,-
ANT,200308,12.8,5.4,16.2,0,59.5,30.0,72.4,0,-,-,-,-,-,-,-,38,-
ANT,200309,8.6,-0.4,9.6,0,54.2,29.0,74.0,0,-,-,-,-,-,-,-,51,-
ANT,200310,6.1,-17.2,2.8,58,192.6,27.0,76.9,4,-,-,-,-,-,-,-,57,-
ANT,200311,6.1,-6.5,1.7,52,85.0,44.0,78.2,15,-,-,-,-,-,-,-,55,-
ANT,200312,4.1,-18.5,-2.2,129,113.8,45.0,75.9,22,-,-,-,-,-,-,-,57,-
ANT,200401,3.7,-18.0,-5.0,194,211.7,50.0,83.5,87,-,-,-,-,-,-,-,73,-
ANT,200402,3.6,-19.5,-4.2,86,61.9,40.0,77.4,115,-,-,-,-,-,-,-,59,-
ANT,200403,4.2,-17.5,-1.2,67,62.5,25.0,76.5,110,-,-,-,-,-,-,-,56,-
ANT,200404,5.8,-9.0,3.5,81,92.5,38.0,75.4,54,-,-,-,-,-,-,-,69,-
ANT,200405,6.8,-4.9,6.4,70,113.8,31.0,73.3,5,-,-,-,-,-,-,-,56,-
ANT,200406,9.6,3.1,11.0,0,116.4,28.0,76.9,0,-,-,-,-,-,-,-,58,-
ANT,200407,10.9,2.4,12.9,0,66.8,34.0,73.8,0,-,-,-,-,-,-,-,57,-
ANT,200408,11.4,4.6,13.6,0,116.7,39.0,74.6,0,-,-,-,-,-,-,-,65,-
ANT,200409,9.5,1.1,10.1,0,77.6,33.0,77.8,0,-,-,-,-,-,-,-,52,-
ANT,200410,7.7,-1.2,8.1,10,138.6,42.0,70.4,0,-,-,-,-,-,-,-,68,-
ANT,200411,4.9,-10.0,-0.6,45,99.8,38.0,78.9,9,-,-,-,-,-,-,-,66,-
ANT,200412,3.6,-19.5,-3.9,117,77.0,39.0,75.5,35,-,-,-,-,-,-,-,45,-
ANT,200501,3.1,-23.0,-7.2,166,138.0,38.0,79.8,80,-,-,-,-,-,-,-,50,-
ANT,200502,2.8,-19.5,-8.0,126,88.7,43.0,79.4,122,-,-,-,-,-,-,-,62,-
ANT,200503,4.5,-20.5,-1.1,51,36.9,38.0,75.2,107,-,-,-,-,-,-,-,55,-
ANT,200504,5.5,-4.6,4.1,59,74.8,25.0,70.0,14,-,-,-,-,-,-,-,69,-
ANT,200505,7.5,-1.2,8.5,11,176.2,25.0,70.8,0,-,-,-,-,-,-,-,66,-
ANT,200506,9.1,-2.0,12.5,0,111.8,25.0,64.7,0,-,-,-,-,-,-,-,58,-
ANT,200507,11.0,2.8,13.2,0,124.7,28.0,73.0,0,-,-,-,-,-,-,-,71,-
ANT,200508,10.6,1.6,10.9,0,239.5,42.0,82.1,0,-,-,-,-,-,-,-,68,-
ANT,200509,10.4,-0.4,10.4,0,51.1,48.0,82.4,0,-,-,-,-,-,-,-,65,-
ANT,200510,7.1,-1.0,7.1,9,74.4,27.0,71.3,0,-,-,-,-,-,-,-,41,-
ANT,200511,4.8,-15.6,-0.4,20,27.4,36.0,77.0,5,-,-,-,-,-,-,-,60,-
ANT,200512,3.2,-23.2,-7.4,176,121.5,48.0,85.7,47,-,-,-,-,-,-,-,59,-
ANT,200601,3.0,-17.0,-6.7,90,56.3,48.0,75.3,85,-,-,-,-,-,-,-,41,-
ANT,200602,3.5,-18.7,-5.6,144,101.6,54.0,82.7,111,-,-,-,-,-,-,-,64,-
ANT,200603,4.2,-21.4,-2.5,122,124.6,41.0,78.5,134,-,-,-,-,-,-,-,66,-
ANT,200604,5.8,-8.7,3.6,48,86.4,29.0,76.2,41,-,-,-,-,-,-,-,65,-
ANT,200605,7.8,-2.5,8.4,27,139.0,27.0,72.5,1,-,-,-,-,-,-,-,79,-
ANT,200606,10.1,-2.2,12.2,6,85.5,32.0,71.6,0,-,-,-,-,-,-,-,60,-
ANT,200607,12.7,8.0,16.2,0,55.3,40.0,70.9,0,-,-,-,-,-,-,-,46,-
ANT,200608,9.6,0.5,9.7,0,177.2,34.0,80.7,0,-,-,-,-,-,-,-,80,-
ANT,200609,10.3,2.0,12.7,0,112.2,33.0,72.1,0,-,-,-,-,-,-,-,63,-
ANT,200610,7.6,-0.8,8.7,0,33.3,30.0,68.1,0,-,-,-,-,-,-,-,58,-
ANT,200611,5.3,-9.0,2.4,15,48.7,27.0,72.0,1,-,-,-,-,-,-,-,58,-
ANT,200612,3.8,-14.0,-3.6,98,98.1,37.0,76.6,27,-,-,-,-,-,-,-,36,-
ANT,200701,4.5,-15.5,-1.6,69,107.0,8.0,79.5,38,-,-,-,-,-,-,-,58,-
ANT,200702,4.3,-9.5,-0.8,80,76.9,33.0,73.8,47,-,-,-,-,-,-,-,58,-
ANT,200703,4.5,-10.0,0.6,66,113.2,25.0,72.7,49,-,-,-,-,-,-,-,57,-
ANT,200704,6.8,-3.5,8.3,4,19.8,26.0,66.3,3,-,-,-,-,-,-,-,37,-
ANT,200705,7.9,-1.6,9.0,38,239.3,23.0,71.5,2,-,-,-,-,-,-,-,72,-
ANT,200706,10.3,2.5,11.8,0,170.3,33.0,76.4,0,-,-,-,-,-,-,-,73,-
ANT,200707,10.1,2.0,12.8,0,129.1,30.0,70.3,0,-,-,-,-,-,-,-,63,-
ANT,200708,10.2,3.4,12.1,0,169.4,30.0,73.4,0,-,-,-,-,-,-,-,72,-
ANT,200709,7.6,-0.5,8.0,6,126.4,29.0,71.8,0,-,-,-,-,-,-,-,58,-
ANT,200710,6.4,-7.0,4.8,2,31.2,24.0,72.1,0,-,-,-,-,-,-,-,57,-
ANT,200711,4.1,-17.0,-2.1,132,136.2,32.0,75.2,35,-,-,-,-,-,-,-,62,-
ANT,200712,3.4,-17.5,-5.3,112,96.1,44.0,77.1,62,-,-,-,-,-,-,-,52,-
ANT,200801,3.7,-14.6,-2.5,90,78.7,23.0,70.0,87,-,-,-,-,-,-,-,55,-
ANT,200802,3.7,-15.2,-2.2,29,24.9,30.0,68.5,96,-,-,-,-,-,-,-,41,-
ANT,200803,4.2,-17.0,-1.1,138,173.3,27.0,73.8,78,-,-,-,-,-,-,-,83,-
ANT,200804,5.2,-7.1,3.1,129,159.4,32.0,70.7,61,-,-,-,-,-,-,-,79,-
ANT,200805,7.6,-2.8,9.8,0,111.9,29.0,64.7,0,-,-,-,-,-,-,-,73,-
ANT,200806,10.0,2.0,12.1,0,97.7,35.0,73.2,0,-,-,-,-,-,-,-,73,-
ANT,200807,9.9,2.7,12.6,0,171.8,30.0,69.1,0,-,-,-,-,-,-,-,65,-
ANT,200808,10.4,4.4,12.8,0,131.6,32.0,72.4,0,-,-,-,-,-,-,-,67,-
ANT,200809,7.9,-3.2,7.9,1,206.7,28.0,74.8,0,-,-,-,-,-,-,-,73,-
ANT,200810,6.5,-4.2,6.0,111,166.3,25.0,70.3,6,-,-,-,-,-,-,-,61,-
ANT,200811,4.6,-13.4,0.1,120,187.2,44.0,72.7,20,-,-,-,-,-,-,-,68,-
ANT,200812,3.6,-15.0,-3.4,159,116.3,35.0,73.1,78,-,-,-,-,-,-,-,66,-
ANT,200901,2.7,-17.2,-6.7,61,44.2,26.0,69.3,87,-,-,-,-,-,-,-,43,-
ANT,200902,3.6,-18.8,-3.9,233,163.2,41.0,76.2,144,-,-,-,-,-,-,-,78,-
ANT,200903,4.1,-14.0,-1.4,253,185.5,31.0,75.6,179,-,-,-,-,-,-,-,80,-
ANT,200904,5.5,-3.4,5.1,54,148.6,33.0,66.7,99,-,-,-,-,-,-,-,72,-
ANT,200905,7.5,-0.7,10.5,0,48.9,15.0,62.3,2,-,-,-,-,-,-,-,64,-
ANT,200906,8.9,1.4,11.2,0,93.8,23.0,68.0,0,-,-,-,-,-,-,-,73,-
ANT,200907,10.3,2.8,13.5,0,124.6,33.0,68.1,0,-,-,-,-,-,-,-,67,-
ANT,200908,10.8,2.1,14.7,0,88.6,24.0,68.0,0,-,-,-,-,-,-,-,52,-
ANT,200909,8.8,1.2,10.4,0,53.2,19.0,72.3,0,-,-,-,-,-,-,-,56,-
ANT,200910,6.1,-10.2,4.5,23,77.6,22.0,69.6,2,-,-,-,-,-,-,-,63,-
ANT,200911,4.9,-9.0,2.4,122,160.7,27.0,68.2,3,-,-,-,-,-,-,-,61,-
ANT,200912,3.4,-20.3,-4.6,93,94.8,32.0,70.8,72,-,-,-,-,-,-,-,64,-
ANT,201001,2.6,-17.4,-7.5,97,58.7,35.0,71.8,73,-,-,-,-,-,-,-,63,-
ANT,201002,3.0,-21.5,-4.2,68,33.9,20.0,64.2,91,-,-,-,-,-,-,-,68,-
ANT,201003,3.8,-16.5,-1.6,79,98.0,23.0,68.4,78,-,-,-,-,-,-,-,74,-
ANT,201004,5.4,-9.9,4.5,26,51.3,26.0,67.6,18,-,-,-,-,-,-,-,67,-
ANT,201005,6.9,-6.5,6.5,29,230.5,24.0,73.9,1,-,-,-,-,-,-,-,85,-
ANT,201006,8.7,1.0,11.1,0,124.1,29.0,68.0,0,-,-,-,-,-,-,-,71,-
ANT,201007,10.9,3.1,14.5,0,113.0,23.0,67.6,0,-,-,-,-,-,-,-,63,-
ANT,201008,9.9,1.4,12.0,0,186.0,30.0,71.9,0,-,-,-,-,-,-,-,74,-
ANT,201009,7.5,-0.4,8.1,0,96.4,24.0,71.9,0,-,-,-,-,-,-,-,65,-
ANT,201010,5.8,-8.3,4.4,57,112.4,21.0,69.3,4,-,-,-,-,-,-,-,62,-
ANT,201011,4.6,-17.3,-0.1,143,182.4,30.0,72.7,21,-,-,-,-,-,-,-,76,-
ANT,201012,3.1,-20.0,-5.6,155,111.0,27.0,73.6,44,-,-,-,-,-,-,-,70,-
ANT,201101,3.4,-18.6,-4.4,34,43.7,40.0,71.0,44,-,-,-,-,-,-,-,53,-
ANT,201102,3.5,-12.9,-2.5,43,37.4,30.0,68.0,48,-,-,-,-,-,-,-,51,-
ANT,201103,4.3,-9.9,1.2,16,38.9,25.0,66.2,38,-,-,-,-,-,-,-,50,-
ANT,201104,5.7,-4.0,6.7,16,28.2,23.0,62.3,1,-,-,-,-,-,-,-,56,-
ANT,201105,7.6,-2.0,9.7,0,95.3,22.0,65.7,0,-,-,-,-,-,-,-,60,-
ANT,201106,9.2,2.0,11.3,0,121.4,30.0,72.6,0,-,-,-,-,-,-,-,75,-
ANT,201107,8.8,3.3,11.3,0,145.6,30.0,68.1,0,-,-,-,-,-,-,-,71,-
ANT,201108,10.1,-3.0,14.2,0,102.3,26.0,65.0,0,-,-,-,-,-,-,-,55,-
ANT,201109,9.4,1.2,11.1,0,96.2,26.0,73.6,0,-,-,-,-,-,-,-,53,-
ANT,201110,5.7,-6.3,4.6,44,111.6,23.0,66.5,2,-,-,-,-,-,-,-,36,-
ANT,201111,4.3,-6.8,1.7,0,24.4,21.0,61.2,0,-,-,-,-,-,-,-,34,-
ANT,201112,4.0,-14.3,-2.3,346,316.1,23.0,75.5,62,-,-,-,-,-,-,-,73,-
ANT,201201,3.5,-17.1,-4.5,245,238.6,43.0,75.7,172,-,-,-,-,-,-,-,63,-
ANT,201202,2.4,-27.3,-9.5,46,52.5,34.0,69.3,188,-,-,-,-,-,-,-,55,-
ANT,201203,4.1,-12.5,1.0,98,70.0,28.0,65.6,170,-,-,-,-,-,-,-,43,-
ANT,201204,5.1,-10.1,3.3,65,178.6,28.0,68.4,84,-,-,-,-,-,-,-,80,-
ANT,201205,7.1,-5.7,8.5,18,103.0,20.0,63.2,2,-,-,-,-,-,-,-,65,-
ANT,201206,10.9,2.2,12.6,0,149.3,34.0,75.1,0,-,-,-,-,-,-,-,69,-
ANT,201207,12.6,0.7,12.9,0,126.9,39.0,85.0,0,-,-,-,-,-,-,-,64,-
ANT,201208,13.3,4.0,14.5,0,156.9,32.0,82.1,0,-,-,-,-,-,-,-,53,-
ANT,201209,9.5,-1.0,9.4,0,128.1,24.0,82.5,0,-,-,-,-,-,-,-,55,-
ANT,201210,7.7,-10.0,5.8,51,149.0,31.0,81.2,3,-,-,-,-,-,-,-,61,-
ANT,201211,5.5,-8.3,1.2,51,145.9,45.0,81.2,3,-,-,-,-,-,-,-,58,-
ANT,201212,4.2,-20.0,-3.6,236,197.9,39.0,84.6,78,-,-,-,-,-,-,-,74,-
ANT,201301,3.8,-19.1,-4.9,94,78.1,43.0,82.7,90,-,-,-,-,-,-,-,60,-
ANT,201302,3.3,-21.4,-6.5,145,99.7,50.0,82.8,125,-,-,-,-,-,-,-,68,-
ANT,201303,4.6,-15.0,-0.9,42,31.1,35.0,79.9,96,-,-,-,-,-,-,-,66,-
ANT,201304,6.4,-11.3,4.2,86,170.5,32.0,79.9,48,-,-,-,-,-,-,-,66,-
ANT,201305,8.2,-2.5,6.3,25,273.7,38.0,85.4,1,-,-,-,-,-,-,-,83,-
ANT,201306,10.2,1.4,10.6,0,97.0,40.0,80.7,0,-,-,-,-,-,-,-,66,-
ANT,201307,13.1,4.0,14.8,0,116.3,40.0,78.3,0,-,-,-,-,-,-,-,51,-
ANT,201308,12.1,3.1,13.1,0,234.3,36.0,82.2,0,-,-,-,-,-,-,-,58,-
ANT,201309,9.9,0.3,9.7,0,117.8,29.0,84.0,0,-,-,-,-,-,-,-,64,-
ANT,201310,8.6,-2.0,7.6,32,113.5,36.0,81.3,2,-,-,-,-,-,-,-,72,-
ANT,201311,4.9,-19.5,-1.6,113,155.9,33.6,83.5,20,-,-,-,-,-,-,-,65,-
ANT,201312,3.1,-22.9,-4.9,70,74.8,19.0,68.7,36,8.26,47,860.6,9.3,82.3,67,3.3,34,-21.5
ANT,201401,3.8,-22.5,-1.6,69,30.0,21.0,68.7,63,4.62,59,849.6,9.3,58.1,36,4.1,63,-25.6
ANT,201402,3.9,-16.2,-1.5,160,67.0,25.3,71.1,106,3.95,99,849.7,5.0,69.2,37,4.7,69,-3.2
ANT,201403,4.1,-17.9,-0.5,76,35.9,23.9,69.9,97,7.87,189,855.2,11.1,169.1,63,3.0,52,-10.0
ANT,201404,6.0,-6.8,4.6,25,90.7,14.3,71.5,14,8.41,221,853.9,15.1,156.1,51,3.3,67,-9.8
ANT,201405,7.1,-4.4,6.6,19,141.3,18.6,74.3,1,15.24,224,856.3,17.7,124.3,35,4.3,75,-8.7
ANT,201406,9.8,-0.9,11.3,0,74.2,25.1,75.0,0,71.55,268,858.7,25.7,206.2,56,3.3,66,-2.9
ANT,201407,11.3,0.2,12.2,0,140.9,27.0,81.0,0,61.76,195,857.5,25.6,120.4,33,3.5,78,-0.7
ANT,201408,10.6,0.1,10.8,0,131.7,43.1,82.0,0,49.63,188,857.4,21.4,123.2,38,3.3,82,-2.1
ANT,201409,9.4,-2.3,9.7,0,38.4,20.2,78.6,0,41.56,158,859.4,19.8,134.1,48,3.3,68,-4.6
ANT,201410,7.8,-9.9,6.8,31,98.8,30.0,77.3,2,18.04,98,859.1,19.4,105.7,48,3.2,61,-11.9
ANT,201411,6.0,-10.4,3.3,95,314.1,31.7,77.4,11,7.41,59,852.8,15.9,63.8,37,3.9,69,-16.0
ANT,201412,4.4,-15.7,-1.6,72,30.0,32.4,79.4,5,3.42,39,856.8,9.0,25.2,21,3.4,77,-19.6
ANT,201501,3.6,-19.9,-3.5,128,90.5,9.1,73.0,34,4.01,55,854.9,11.8,56.7,35,3.9,66,-22.8
ANT,201502,2.9,-22.1,-6.1,88,26.8,18.9,72.3,67,4.10,103,851.9,6.4,77.8,42,3.1,61,-27.0
ANT,201503,4.4,-17.3,-0.2,64,89.6,20.4,71.9,53,5.49,163,857.1,13.4,118.5,44,3.7,66,-8.7
ANT,201504,5.2,-19.2,3.1,69,38.8,16.6,68.4,17,10.57,238,858.7,15.3,180.1,58,3.4,62,-9.9
ANT,201505,7.9,-3.2,7.6,35,151.5,19.8,76.6,1,17.30,224,857.4,21.6,145.2,41,3.8,81,-6.0
ANT,201506,10.4,2.1,12.1,0,86.4,27.2,75.2,0,69.80,264,860.8,24.3,196.9,54,3.5,67,-1.0
ANT,201507,12.5,1.4,15.4,0,50.1,23.1,72.8,0,128.97,287,860.7,29.2,265.4,73,3.3,51,-1.6
ANT,201508,11.7,2.5,14.0,0,102.2,21.0,75.4,0,93.95,213,860.0,27.4,189.1,58,3.2,61,-0.8
ANT,201509,8.5,-3.1,7.6,0,141.0,33.2,81.2,0,32.29,139,858.1,18.0,109.5,39,3.8,74,-6.4
ANT,201510,6.6,-6.7,5.1,17,73.9,19.1,76.1,0,19.67,105,857.0,16.8,102.5,47,3.4,65,-10.6
ANT,201511,4.8,-21.5,0.8,64,54.6,10.6,72.3,8,14.66,77,860.4,20.3,123.0,71,2.5,43,-14.9
ANT,201512,3.8,-16.0,-2.5,4,6.1,21.9,73.2,16,7.71,50,866.7,11.0,99.0,81,1.9,29,-11.8
ANT,201601,3.7,-23.0,-3.9,86,70.2,16.5,74.8,36,3.59,56,853.0,7.3,57.6,36,2.8,66,-25.6
ANT,201602,4.2,-20.4,-1.4,160,77.8,24.5,75.2,67,3.01,92,851.0,10.5,52.6,27,4.2,80,-8.0
ANT,201603,3.8,-20.8,-2.6,73,29.7,21.6,71.6,81,5.91,179,851.3,8.3,137.6,52,3.5,60,-17.8
ANT,201604,5.7,-9.8,3.7,93,90.1,14.5,72.2,7,6.33,191,852.4,14.4,96.2,31,4.4,80,-17.2
ANT,201605,7.2,-3.3,6.8,9,107.0,34.6,73.2,1,16.43,221,854.6,18.8,115.0,33,4.3,78,-7.8
ANT,201606,10.3,-0.4,10.8,2,118.3,26.7,80.1,0,52.72,242,857.1,27.2,135.4,37,3.0,75,-1.7
ANT,201607,11.8,1.0,13.2,0,77.3,29.1,78.4,0,91.92,259,861.2,24.8,208.3,57,3.4,62,-1.7
ANT,201608,11.3,2.3,12.6,0,63.6,27.1,78.3,0,84.05,226,862.5,24.2,201.5,62,3.2,55,-0.3
ANT,201609,10.0,-0.5,10.8,0,79.6,35.3,78.8,0,58.40,184,861.1,21.1,190.6,68,3.2,55,-2.7
ANT,201610,6.4,-6.3,4.0,0,41.5,20.8,78.1,0,20.09,106,859.1,16.3,117.1,53,3.4,62,-9.5
ANT,201611,5.2,-15.7,0.5,80,50.2,25.2,78.8,11,7.92,63,854.6,14.5,77.8,45,3.7,74,-16.2
ANT,201612,3.5,-13.5,-3.3,0,1.5,18.8,72.3,0,8.40,47,865.6,9.6,108.1,88,2.1,27,-17.7
ANT,201701,2.6,-24.0,-7.5,120,35.2,21.3,71.8,39,5.18,62,856.5,6.7,94.4,58,3.4,-,-27.9
ANT,201702,4.1,-21.5,-1.1,58,20.3,21.3,72.0,46,4.17,103,855.7,9.8,84.6,45,3.8,-,-20.1
ANT,201703,5.1,-13.8,1.6,139,172.1,23.0,74.8,64,5.82,163,856.7,13.3,131.3,49,2.9,-,-8.6
ANT,201704,5.4,-15.0,2.5,62,63.0,18.7,73.7,8,8.52,233,857.2,16.6,171.7,56,3.7,-,-16.2
ANT,201705,7.7,-10.3,8.5,18,46.7,21.3,70.7,1,29.17,264,858.0,23.6,203.0,58,3.6,-,-6.8
ANT,201706,11.3,-0.3,13.5,0,127.7,28.7,74.0,0,78.54,271,858.9,26.9,215.3,59,3.3,-,-2.1
ANT,201707,11.6,2.5,13.2,0,92.8,25.9,77.7,0,82.60,241,859.8,24.5,173.4,48,3.3,-,-0.4
ANT,201708,12.0,1.0,13.6,0,144.2,34.4,77.8,0,82.77,211,861.4,27.2,188.3,58,3.3,-,-1.3
ANT,201709,8.0,-3.5,6.9,16,131.0,26.8,80.6,1,36.88,157,857.5,17.4,120.7,43,3.3,-,-6.6
ANT,201710,6.5,-6.3,5.4,9,69.0,18.8,75.5,0,27.04,116,861.9,20.9,141.4,64,2.9,-,-9.8
ANT,201711,4.3,-12.9,-1.6,97,86.8,31.9,78.8,20,7.94,68,854.9,12.7,70.5,40,3.5,-,-8.3
ANT,201712,3.3,-19.8,-5.6,166,109.7,24.6,79.3,67,4.31,43,854.2,8.5,52.7,43,3.6,-,-4.7
ANT,201801,4.3,-19.3,-1.9,188,261.1,34.1,77.5,112,3.21,55,854.4,8.9,58.6,36,4.2,-,-0.3
ANT,201802,2.9,-26.9,-7.6,58,40.2,23.5,77.4,139,3.09,105,849.0,6.1,66.1,35,2.9,-,-29.5
ANT,201803,4.2,-24.6,-1.4,164,126.7,36.2,75.8,134,4.00,160,843.7,6.9,77.7,29,4.1,-,-25.8
ANT,201804,5.8,-9.9,5.1,0,80.4,21.9,67.3,79,9.30,232,855.5,17.2,161.2,52,4.1,-,-8.8
ANT,201805,8.6,-0.5,9.3,0,66.4,34.1,74.5,0,17.49,223,856.2,21.0,137.5,39,3.3,-,-3.0
ANT,201806,10.4,1.2,12.2,0,60.6,38.1,74.1,0,83.20,283,858.5,23.6,229.4,62,3.6,-,-1.1
ANT,201807,11.3,2.9,14.2,0,34.5,30.9,72.5,0,127.42,280,859.5,25.5,247.2,68,3.1,-,-0.8
ANT,201808,11.9,0.8,14.0,0,75.6,32.2,76.1,0,91.79,224,861.1,27.8,196.5,60,3.2,-,-2.3
ANT,201809,9.8,-2.0,10.7,0,43.0,20.2,77.3,0,59.51,190,862.6,23.4,197.9,71,3.1,-,-6.5
ANT,201810,6.9,-7.1,6.4,45,236.1,29.1,73.6,3,27.30,104,858.3,18.5,131.3,60,4.1,-,-12.3
ANT,201811,5.6,-10.4,2.9,15,41.6,24.5,72.7,2,7.95,57,855.6,12.6,56.7,33,4.8,-,-17.0
ANT,201812,4.1,-25.4,-3.3,90,161.6,22.3,78.9,25,4.23,39,858.6,9.1,46.8,38,3.3,-,-25.6
ANT,201901,3.0,-26.6,-7.3,200,119.8,36.1,77.9,92,3.34,62,851.8,3.4,64.8,40,4.2,-,-24.9
ANT,201902,3.2,-23.3,-4.6,53,32.4,21.0,72.5,113,5.35,122,860.8,9.7,140.5,75,2.9,-,-27.7
ANT,201903,4.1,-15.4,-0.5,98,101.5,16.5,68.9,108,7.58,176,857.9,10.9,150.1,56,3.8,-,-18.6
ANT,201904,5.4,-16.1,2.7,162,198.1,23.9,74.2,83,6.16,204,853.0,12.3,105.0,34,4.5,-,-10.6
ANT,201905,6.5,-5.4,5.1,6,55.3,14.9,74.3,3,17.76,245,854.2,16.0,132.6,38,4.5,-,-7.2
ANT,201906,10.5,1.1,13.7,0,216.1,22.9,69.3,0,100.32,267,860.1,28.5,227.9,62,3.6,-,-2.3
ANT,201907,12.1,3.3,14.3,0,54.3,32.6,75.8,0,97.88,252,859.1,27.6,207.1,57,3.6,-,1.0
ANT,201908,11.9,2.3,13.6,0,152.0,32.4,77.8,0,81.76,214,860.8,23.9,190.4,58,3.1,-,-1.1
ANT,201909,9.3,0.0,9.5,0,110.2,24.6,79.6,0,49.27,168,860.7,21.1,161.7,58,3.3,-,-1.3
ANT,201910,7.9,-2.6,8.4,0,194.4,28.8,73.2,0,24.49,98,857.7,18.9,97.8,44,4.0,-,-5.7
